open file error: Sleipnir.20170610.2//6582.dividend
fread failed : Sleipnir.20170610.2//6582.dividend
open file error: Sleipnir.20170610.2//6582.earning.month
fread failed : Sleipnir.20170610.2//6582.earning.month
open file error: Sleipnir.20170610.2//6582.earning.season
fread failed : Sleipnir.20170610.2//6582.earning.season
open file error: Sleipnir.20170610.2//6582.price
fread failed : Sleipnir.20170610.2//6582.price
open file error: Sleipnir.20170610.2//6213.dividend
fread failed : Sleipnir.20170610.2//6213.dividend
save data failed
fread failed : Sleipnir.20170610.2//3708.earning.month
skcodelist.codenum = 701 
,101,34.10,26.30,29.49,11.95,2.47,1.60,0.00,5.43,5.43,
,102,33.05,26.50,30.32,13.27,2.29,2.20,0.00,7.26,7.26,
,103,33.60,27.60,30.01,17.26,1.74,1.15,0.00,3.83,3.83,
,104,33.15,22.50,28.99,8.09,3.58,2.40,0.90,8.28,15.72,
,105,29.60,21.90,24.44,15.30,1.60,1.15,0.00,4.71,4.71,
,106,31.20,28.25,29.91,12.65,2.37,1.50,0.50,5.01,9.51,
,1060609,30.80,30.80,30.80,10.96,2.81,1.50,0.50,4.87,9.38,
,37.41,21.47,
菱光(8249),95,47.45,34.15,42.31,9.42,4.49,0.00,0.00,0.00,0.00,
,96,55.90,29.90,46.82,11.31,4.14,0.00,0.00,0.00,0.00,
,97,34.20,6.75,19.80,7.82,2.53,2.60,0.10,13.13,13.99,
,98,25.55,7.38,15.93,22.75,0.70,0.20,0.00,1.26,1.26,
,99,32.70,21.15,26.85,19.33,1.39,1.00,0.00,3.72,3.72,
,100,31.15,13.25,20.87,13.12,1.59,1.70,0.00,8.15,8.15,
,101,20.65,13.60,15.76,15.05,1.05,0.80,0.00,5.08,5.08,
,102,22.75,14.30,16.13,15.51,1.04,0.90,0.00,5.58,5.58,
,103,28.70,19.40,24.64,14.75,1.67,1.20,0.00,4.87,4.87,
,104,26.80,17.20,23.33,9.32,2.50,1.90,0.00,8.15,8.15,
,105,24.30,18.60,20.49,10.05,2.04,1.80,0.00,8.79,8.79,
,106,24.75,20.90,23.47,12.31,1.91,1.60,0.00,6.82,6.82,
,1060609,23.85,23.85,23.85,10.55,2.26,1.60,0.00,6.71,6.71,
,28.00,17.40,
